Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,Rost,Yahoo,ESPN,PlayerId,Team
Alec Bohm ,390,51,12,51,4,0.262,0.323,102,19,1,35,98,0.411,0.734,0.44,0.53,0.36,7921,PHI 
Miguel Cabrera ,448,48,15,62,1,0.251,0.311,112,16,1,39,113,0.389,0.701,0.07,0.07,0.08,3759,DET 
Alejandro Kirk ,339,47,15,52,1,0.266,0.337,90,19,1,37,60,0.459,0.796,0.24,0.32,0.16,43675,TOR 
Darin Ruf ,339,48,17,52,2,0.251,0.341,85,17,1,46,99,0.454,0.796,0.1,0.11,0.09,4616,SF 
Tony Kemp ,429,59,9,44,9,0.252,0.337,108,21,3,55,74,0.371,0.707,0.04,0.03,0.04,5979,OAK 
Aristides Aquino ,324,47,20,53,5,0.226,0.302,73,14,1,35,109,0.463,0.765,0.01,0.01,0.01,6544,CIN 
Dominic Smith ,382,48,14,56,2,0.254,0.308,97,21,1,30,95,0.426,0.734,0.02,0.02,0.02,4946,NYM 
Colin Moran ,351,44,15,56,1,0.255,0.324,90,16,0,35,93,0.435,0.758,0.02,0.02,0.01,4937,CIN 
Riley Greene ,338,48,13,44,6,0.256,0.324,87,15,4,34,99,0.428,0.751,0.11,0.18,0.05,19457,DET 
Bryson Stott ,385,51,12,46,7,0.251,0.323,96,20,2,41,106,0.404,0.727,0.02,0.02,0.02,22308,PHI 
Brad Miller ,347,50,18,50,3,0.235,0.321,81,14,2,44,112,0.443,0.764,0.08,0.1,0.07,4684,TEX 
Rafael Ortega ,355,50,11,40,11,0.249,0.319,89,17,2,36,81,0.396,0.716,0.01,0.01,0.01,5424,CHC 
Gary Sanchez ,377,53,22,58,1,0.21,0.294,79,15,1,45,116,0.43,0.725,0.58,0.67,0.5,4670,MIN 
Andy Ibanez ,391,50,13,47,2,0.261,0.313,102,21,2,30,71,0.426,0.739,0.01,0.01,0.01,6676,TEX 
Tommy La Stella ,392,54,11,46,1,0.264,0.327,104,19,2,36,50,0.411,0.738,0.02,0.02,0.02,5248,SF 
Josh Harrison ,400,49,9,46,6,0.266,0.31,106,22,2,26,66,0.396,0.707,0.05,0.05,0.04,4372,CWS 
Evan Longoria ,353,47,15,52,2,0.249,0.314,88,17,1,33,89,0.431,0.744,0.02,0.03,0.01,3342,SF 
Seth Beer ,348,48,15,50,1,0.254,0.315,88,19,1,31,89,0.443,0.758,0.02,0.02,0.01,6974,ARI 
Chad Pinder ,413,52,15,53,2,0.24,0.294,99,23,1,32,113,0.409,0.704,0.02,0.02,0.01,4980,OAK 
Victor Robles ,406,53,10,41,15,0.235,0.295,95,23,2,34,113,0.373,0.667,0.01,0.02,0.01,5978,WSH 
Andrew Vaughn ,370,50,15,49,1,0.249,0.318,92,20,1,37,87,0.439,0.757,0.44,0.53,0.35,22216,CWS 
Jurickson Profar ,394,53,10,46,10,0.239,0.318,94,20,2,46,71,0.378,0.696,0.64,0.53,0.76,4581,SD 
Gavin Sheets ,317,43,16,51,1,0.251,0.315,80,15,0,30,84,0.452,0.767,0.01,0.01,0.02,43643,CWS 
Kevin Kiermaier ,413,54,9,46,12,0.236,0.297,97,19,6,36,114,0.373,0.67,0.11,0.16,0.06,5131,TB 
Josh Lowe ,327,45,13,43,11,0.239,0.314,78,17,2,36,116,0.42,0.734,0.06,0.08,0.03,10142,TB 
Connor Joe ,312,46,13,46,2,0.263,0.348,82,17,1,41,75,0.452,0.801,0.76,0.68,0.84,7302,COL 
Kyle Farmer ,395,47,12,49,3,0.257,0.296,101,20,2,22,86,0.405,0.701,0.05,0.06,0.04,5706,CIN 
Steven Kwan ,335,47,9,40,5,0.274,0.336,92,17,3,31,51,0.423,0.758,0.4,0.27,0.53,44349,CLE 
Jake Meyers ,337,45,13,45,7,0.245,0.299,83,17,1,26,97,0.415,0.714,0.0,0.0,0.0,10160,HOU 
Sean Murphy ,389,50,18,54,1,0.226,0.301,88,20,1,42,113,0.418,0.718,0.65,0.59,0.72,6609,OAK 
Ben Gamel ,423,55,11,44,5,0.245,0.333,104,24,3,56,129,0.392,0.725,0.09,0.09,0.08,5459,PIT 
Kevin Smith ,367,45,16,48,8,0.225,0.286,83,19,2,31,107,0.414,0.7,0.01,0.01,0.01,9985,OAK 
Carson Kelly ,369,47,16,52,0,0.242,0.326,89,17,1,46,91,0.421,0.747,0.09,0.07,0.1,6253,ARI 
Elias Diaz ,338,45,14,45,1,0.26,0.318,88,17,1,28,67,0.439,0.757,0.12,0.15,0.09,5591,COL 
Ramon Urias ,401,49,12,48,3,0.249,0.313,100,22,1,38,111,0.395,0.709,0.01,0.0,0.01,8377,BAL 
Robinson Cano ,364,44,12,47,1,0.263,0.311,96,20,1,25,67,0.417,0.728,0.01,0.01,0.02,3865,SD 
Jorge Mateo ,379,45,10,39,14,0.24,0.279,91,20,4,21,106,0.383,0.662,0.22,0.31,0.14,5971,BAL 
Ha-Seong Kim ,343,45,12,45,8,0.239,0.302,82,17,2,31,81,0.403,0.705,0.17,0.17,0.18,6866,SD 
Christian Vazquez ,395,46,9,45,6,0.255,0.307,101,19,1,29,79,0.38,0.686,0.45,0.49,0.42,5391,BOS 
Cristian Pache ,442,52,13,47,7,0.228,0.28,101,22,2,32,133,0.367,0.648,0.01,0.01,0.01,7653,OAK 
Adley Rutschman ,329,46,13,44,2,0.253,0.334,83,16,1,40,74,0.428,0.761,0.72,0.81,0.63,8022,BAL 
Elvis Andrus ,456,52,7,40,11,0.247,0.292,112,23,2,29,76,0.35,0.642,0.02,0.02,0.03,3324,OAK 
Nick Ahmed ,435,51,10,48,6,0.239,0.297,104,25,3,36,101,0.378,0.675,0.01,0.01,0.01,5521,ARI 
Austin Slater ,293,41,11,35,12,0.249,0.325,73,14,2,33,88,0.417,0.742,0.01,0.01,0.0,7070,SF 
Kyle Lewis ,318,43,14,42,4,0.248,0.324,79,13,1,36,102,0.423,0.747,0.21,0.28,0.14,6397,SEA 
Omar Narvaez ,363,47,12,46,0,0.256,0.33,93,16,0,40,81,0.396,0.725,0.2,0.11,0.3,6155,MIL 
Travis d'Arnaud ,352,43,14,49,1,0.248,0.308,87,17,1,30,93,0.417,0.725,0.74,0.79,0.69,4099,ATL 
Danny Jansen ,318,47,16,47,1,0.233,0.308,74,16,1,34,79,0.44,0.748,0.15,0.21,0.09,7237,TOR 
Mike Zunino ,325,47,22,52,0,0.203,0.27,66,13,1,30,125,0.451,0.721,0.1,0.15,0.05,4663,TB 
Kevin Newman ,440,48,6,42,7,0.258,0.3,114,21,3,26,49,0.361,0.661,0.01,0.01,0.0,6044,PIT 
Yadier Molina ,402,42,11,52,2,0.249,0.288,100,17,0,22,72,0.371,0.659,0.13,0.13,0.13,4020,STL 
Clint Frazier ,328,45,14,44,4,0.235,0.32,77,18,1,41,101,0.421,0.741,0.01,0.01,0.01,4935,CHC 
Rougned Odor ,340,44,18,50,3,0.215,0.275,73,15,1,28,102,0.42,0.695,0.02,0.02,0.02,4776,BAL 
Jake Fraley ,264,39,12,40,9,0.238,0.329,63,13,1,36,82,0.428,0.757,0.01,0.01,0.0,8083,CIN 
Nick Solak ,335,44,10,40,5,0.255,0.313,85,15,1,28,74,0.396,0.709,0.01,0.02,0.01,7470,TEX 
Garrett Hampson ,303,43,8,30,13,0.249,0.306,76,14,4,25,79,0.401,0.706,0.01,0.02,0.01,7545,COL 
Alcides Escobar ,413,50,7,42,4,0.251,0.291,104,21,2,24,83,0.357,0.648,0.01,0.01,0.0,3031,WSH 
Austin Nola ,343,41,10,45,1,0.258,0.323,89,18,1,33,66,0.401,0.724,0.16,0.19,0.14,6548,SD 
Stephen Piscotty ,388,43,14,48,3,0.232,0.287,90,18,1,30,109,0.386,0.674,0.0,0.0,0.0,5702,OAK 
Taylor Ward ,284,42,11,39,4,0.248,0.325,71,16,1,32,82,0.429,0.754,0.92,0.92,0.93,6071,LAA 
Tyrone Taylor ,280,38,12,42,5,0.244,0.298,68,13,2,21,69,0.434,0.731,0.05,0.06,0.04,7578,MIL 
Max Stassi ,343,45,15,46,0,0.229,0.299,79,13,1,34,116,0.403,0.702,0.02,0.03,0.02,5251,LAA 
J.D. Davis ,291,39,12,39,2,0.258,0.337,75,15,1,34,85,0.43,0.767,0.01,0.01,0.01,6148,NYM 
Odubel Herrera ,298,39,10,37,4,0.261,0.311,78,17,1,21,56,0.423,0.733,0.02,0.02,0.01,5663,PHI 
Nick Pratto ,259,38,13,40,5,0.237,0.317,61,14,2,30,86,0.452,0.769,0.01,0.02,0.01,7154,KC 
Jed Lowrie ,369,43,11,49,1,0.239,0.311,88,21,1,38,93,0.39,0.701,0.01,0.01,0.01,3479,OAK 
Daniel Vogelbach ,291,43,14,42,1,0.23,0.349,67,12,0,53,79,0.419,0.769,0.04,0.05,0.04,4697,PIT 
Anthony Alford ,300,39,10,37,11,0.228,0.299,68,14,2,30,111,0.386,0.685,0.0,0.0,0.0,5693,"LF,CF) FA "
Luis Garcia ,299,39,10,36,2,0.264,0.304,79,16,2,17,55,0.424,0.728,0.01,0.01,0.01,7507,WSH 
Jordan Luplow ,280,40,13,41,3,0.233,0.326,65,15,1,39,82,0.435,0.761,0.01,0.01,0.0,7287,ARI 
Jake McCarthy ,283,37,8,32,15,0.229,0.293,65,13,4,26,88,0.386,0.679,0.0,0.0,0.0,8273,ARI 
Chas McCormick ,276,39,11,38,5,0.24,0.31,66,11,1,28,82,0.404,0.713,0.02,0.02,0.01,10177,HOU 
Nico Hoerner ,299,37,5,32,8,0.272,0.331,81,15,2,27,58,0.375,0.707,0.06,0.08,0.05,7934,CHC 
James McCann ,362,40,12,44,2,0.236,0.292,86,14,1,29,108,0.376,0.668,0.03,0.05,0.02,5563,NYM 
Jason Heyward ,318,42,10,38,4,0.242,0.317,77,14,2,35,68,0.391,0.707,0.0,0.0,0.01,3459,CHC 
Alex Dickerson ,247,35,12,37,1,0.254,0.314,63,12,1,22,63,0.459,0.773,0.0,0.0,0.0,5655,ATL 
Jacob Stallings ,370,41,10,43,0,0.245,0.319,91,18,1,40,89,0.375,0.694,0.03,0.04,0.03,6310,MIA 
Leury Garcia ,315,40,6,34,5,0.26,0.31,82,15,2,23,74,0.371,0.682,0.01,0.02,0.01,4539,CWS 
Santiago Espinal ,301,39,5,32,6,0.267,0.325,80,16,1,26,52,0.377,0.703,0.25,0.29,0.21,8474,TOR 
Jackie Bradley Jr. ,370,47,10,40,7,0.216,0.281,80,19,2,33,110,0.362,0.643,0.01,0.01,0.01,4567,BOS 
Taylor Walls ,309,40,8,35,10,0.227,0.312,70,16,2,38,90,0.362,0.674,0.01,0.01,0.0,43756,TB 
Yadiel Hernandez ,258,35,10,36,2,0.255,0.319,66,11,1,24,67,0.42,0.739,0.26,0.32,0.2,10179,WSH 
Michael Chavis ,285,37,11,38,3,0.24,0.287,68,13,2,19,88,0.418,0.705,0.04,0.05,0.04,6946,PIT 
Keston Hiura ,265,36,12,37,4,0.229,0.294,61,13,1,24,95,0.424,0.718,0.01,0.01,0.01,7180,MIL 
Andrelton Simmons ,407,43,5,38,4,0.251,0.3,102,16,1,29,59,0.333,0.633,0.0,0.0,0.0,4583,CHC 
Kyle Isbel ,265,35,8,30,8,0.248,0.306,66,13,2,22,69,0.4,0.706,0.0,0.0,0.0,8285,KC 
Corey Dickerson ,290,35,8,33,3,0.262,0.309,76,16,2,20,56,0.414,0.723,0.01,0.01,0.01,4072,STL 
Joey Bart ,337,40,10,38,2,0.237,0.284,80,15,1,22,108,0.378,0.662,0.1,0.13,0.06,7956,SF 
Ryan Jeffers ,310,37,15,40,1,0.219,0.287,68,13,1,29,105,0.406,0.693,0.02,0.03,0.02,8660,MIN 
Carter Kieboom ,305,41,10,37,1,0.237,0.317,72,13,1,36,78,0.379,0.696,0.01,0.01,0.01,6823,WSH 
Steven Duggar ,296,39,7,33,7,0.238,0.304,70,15,3,28,94,0.378,0.683,0.0,0.0,0.0,7065,SF 
Jose Miranda ,224,31,9,31,1,0.277,0.32,62,13,1,14,36,0.445,0.765,0.03,0.04,0.01,44244,MIN 
Tyler Wade ,256,36,4,23,16,0.234,0.303,60,12,2,25,69,0.34,0.643,0.03,0.03,0.02,5990,LAA 
Matt Vierling ,265,33,8,31,6,0.249,0.304,66,12,1,21,64,0.394,0.698,0.0,0.0,0.0,10043,PHI 
Jose Barrero ,228,31,8,30,6,0.253,0.305,58,13,1,17,62,0.423,0.728,0.01,0.02,0.01,7218,CIN 
Jorge Alfaro ,291,31,9,35,5,0.243,0.281,71,13,1,15,94,0.383,0.664,0.02,0.02,0.01,4714,SD 
Yan Gomes ,255,33,10,36,1,0.249,0.299,63,12,1,18,62,0.422,0.72,0.02,0.03,0.01,4522,CHC 
Yu Chang ,267,34,10,37,2,0.235,0.289,63,14,2,20,83,0.417,0.705,0.0,0.0,0.0,5034,CLE 
Eric Haase ,263,33,13,38,2,0.219,0.278,58,10,1,21,93,0.421,0.698,0.02,0.03,0.02,7567,DET 
Edmundo Sosa ,262,34,7,29,4,0.26,0.299,68,11,2,15,56,0.393,0.693,0.0,0.0,0.0,6587,STL 
Kyle Higashioka ,271,33,14,40,1,0.214,0.272,58,12,0,21,80,0.414,0.686,0.02,0.02,0.02,6168,NYY 
Matt Beaty ,231,32,7,33,3,0.255,0.314,59,11,1,20,48,0.4,0.714,0.0,0.0,0.0,7673,SD 
Bryan De La Cruz ,259,32,7,30,2,0.265,0.319,69,12,2,21,65,0.407,0.726,0.0,0.0,0.0,44192,MIA 
Thairo Estrada ,217,31,8,28,4,0.259,0.308,56,10,1,15,49,0.42,0.728,0.63,0.7,0.55,7544,SF 
Triston Casas ,190,29,8,33,2,0.258,0.338,49,11,1,23,52,0.443,0.781,0.04,0.07,0.02,6997,BOS 
C.J. Abrams ,229,31,5,26,9,0.249,0.299,57,13,1,17,54,0.377,0.677,0.05,0.08,0.03,19879,SD 
Lars Nootbaar ,242,32,8,30,4,0.246,0.318,59,9,1,26,60,0.393,0.712,0.0,0.0,0.0,44339,STL 
Oscar Mercado ,235,32,7,26,8,0.239,0.302,56,12,1,21,49,0.386,0.688,0.02,0.02,0.03,4967,CLE 
Kevin Pillar ,207,28,8,30,4,0.25,0.279,52,11,1,9,39,0.431,0.71,0.0,0.0,0.0,5274,LAD 
Francisco Mejia ,264,32,9,34,1,0.244,0.292,64,14,2,18,58,0.41,0.702,0.05,0.07,0.04,5998,TB 
Justin Upton ,218,31,11,33,2,0.226,0.307,49,9,0,25,73,0.425,0.732,0.01,0.01,0.0,3622,SEA 
Dylan Moore ,209,28,8,26,12,0.213,0.288,45,9,1,22,63,0.378,0.665,0.01,0.01,0.0,6484,SEA 
Maikel Franco ,263,29,10,36,1,0.237,0.288,62,14,0,19,47,0.404,0.692,0.07,0.08,0.07,4725,WSH 
Cole Tucker ,292,36,6,30,6,0.231,0.303,68,14,3,30,72,0.358,0.662,0.0,0.0,0.0,5985,PIT 
Jarren Duran ,211,30,5,24,8,0.25,0.303,53,11,2,16,63,0.401,0.704,0.05,0.08,0.01,10054,BOS 
Matt Duffy ,238,31,4,26,4,0.268,0.331,64,10,1,22,51,0.363,0.694,0.0,0.0,0.0,5032,LAA 
Aledmys Diaz ,231,29,8,32,1,0.253,0.302,58,13,0,16,47,0.413,0.714,0.02,0.02,0.01,5460,HOU 
Austin Hedges ,331,36,13,40,2,0.199,0.251,66,11,0,23,104,0.351,0.602,0.0,0.0,0.0,4680,CLE 
Jose Siri ,199,26,8,26,8,0.233,0.282,46,9,1,13,65,0.403,0.685,0.01,0.01,0.01,5727,HOU 
Kelvin Gutierrez ,310,33,7,32,3,0.239,0.292,74,12,2,23,84,0.357,0.649,0.0,0.0,0.0,7666,BAL 
Tucker Barnhart ,340,36,8,38,1,0.228,0.297,77,16,1,33,91,0.347,0.644,0.02,0.03,0.01,4847,DET 
Roberto Perez ,356,37,12,41,2,0.203,0.285,72,11,1,41,122,0.34,0.625,0.0,0.0,0.0,5529,PIT 
Bradley Zimmer ,219,30,7,24,9,0.222,0.294,49,9,1,22,76,0.359,0.653,0.0,0.0,0.0,5967,TOR 
Alek Thomas ,185,27,5,23,5,0.27,0.331,50,10,3,17,45,0.432,0.763,0.27,0.32,0.22,8265,ARI 
Abraham Toro ,203,29,7,28,3,0.247,0.313,50,10,1,20,41,0.408,0.72,0.02,0.02,0.02,8427,SEA 
Luis Torrens ,238,28,10,32,0,0.238,0.3,57,12,1,21,63,0.414,0.714,0.01,0.01,0.01,6629,SEA 
Vidal Brujan ,186,26,4,21,12,0.242,0.305,45,10,1,17,36,0.375,0.679,0.03,0.04,0.01,10035,TB 
Donovan Solano ,227,27,5,27,1,0.28,0.327,63,13,1,16,49,0.413,0.74,0.0,0.0,0.0,4591,CIN 
Martin Maldonado ,367,42,12,40,1,0.195,0.276,72,13,1,41,119,0.331,0.607,0.01,0.01,0.01,4351,HOU 
Mitch Moreland ,203,27,10,31,0,0.235,0.303,48,10,1,20,49,0.433,0.736,0.0,0.0,0.0,3788,"1B,DH) FA "
MJ Melendez ,168,25,9,27,2,0.244,0.321,41,9,1,19,48,0.458,0.779,0.24,0.37,0.1,10031,KC 
Brett Gardner ,245,33,7,28,3,0.227,0.317,56,10,3,32,62,0.372,0.689,0.0,0.0,0.0,3124,"LF,CF) FA "
Christian Arroyo ,204,27,7,27,2,0.249,0.295,51,11,1,13,54,0.423,0.718,0.0,0.0,0.0,5036,BOS 
Manny Pina ,206,26,10,30,0,0.23,0.298,48,9,0,20,53,0.412,0.709,0.0,0.0,0.0,4148,ATL 
Tom Murphy ,250,30,11,32,1,0.213,0.291,53,10,1,27,82,0.389,0.68,0.01,0.01,0.01,5850,SEA 
Sheldon Neuse ,240,28,7,27,3,0.235,0.286,56,11,1,17,73,0.376,0.662,0.17,0.26,0.07,7488,OAK 
Edwin Rios ,159,24,9,27,1,0.229,0.295,37,8,0,15,52,0.452,0.747,0.02,0.03,0.01,7414,LAD 
Asdrubal Cabrera ,210,27,7,30,1,0.234,0.308,49,11,0,22,47,0.397,0.704,0.0,0.0,0.0,3070,"1B,3B) FA "
Victor Reyes ,196,25,4,20,5,0.265,0.303,52,9,2,11,44,0.401,0.704,0.0,0.0,0.0,7369,DET 
DJ Stewart ,185,27,9,27,1,0.222,0.319,41,8,1,26,51,0.416,0.735,0.0,0.0,0.0,7406,BAL 
Dom Nunez ,224,30,10,30,1,0.207,0.298,46,11,2,29,81,0.401,0.699,0.0,0.0,0.0,5020,COL 
Cal Raleigh ,224,25,9,29,2,0.224,0.275,50,13,0,16,66,0.405,0.68,0.0,0.0,0.0,8457,SEA 
Mike Brosseau ,186,26,7,25,2,0.235,0.3,44,9,1,17,52,0.404,0.704,0.0,0.0,0.0,8485,MIL 
Jace Peterson ,185,26,5,23,5,0.238,0.328,44,9,1,24,46,0.378,0.705,0.04,0.06,0.02,5478,MIL 
Niko Goodrum ,189,26,6,23,6,0.224,0.295,42,9,1,19,64,0.381,0.675,0.0,0.0,0.0,6751,HOU 
Adam Engel ,181,24,6,22,5,0.24,0.288,43,9,1,12,49,0.4,0.688,0.0,0.0,0.0,6234,CWS 
Nolan Gorman ,167,22,7,23,2,0.25,0.299,42,9,1,12,43,0.425,0.723,0.46,0.62,0.3,7471,STL 
Kevin Plawecki ,197,23,5,24,1,0.262,0.319,52,11,1,17,40,0.398,0.717,0.0,0.0,0.0,5684,BOS 
Trevor Larnach ,218,28,7,26,1,0.23,0.306,50,10,0,24,67,0.385,0.69,0.01,0.02,0.01,7176,MIN 
Albert Pujols ,171,19,8,27,1,0.238,0.282,41,6,0,11,31,0.409,0.691,0.03,0.02,0.03,3027,STL 
Mauricio Dubon ,180,23,5,21,3,0.255,0.307,46,8,1,14,36,0.395,0.702,0.01,0.01,0.01,6615,HOU 
D.J. Stewart ,215,28,9,29,1,0.205,0.306,44,9,1,32,69,0.365,0.671,0.0,0.0,0.0,45969,1B) 
Eric Thames ,203,26,8,26,2,0.217,0.293,44,10,1,22,55,0.392,0.685,0.0,0.0,0.0,3334,"1B,RF) FA "
Curt Casali ,230,26,8,28,1,0.222,0.302,51,11,1,26,71,0.371,0.673,0.01,0.02,0.01,5533,SF 
Riley Adams ,209,27,7,26,1,0.223,0.3,47,10,1,23,79,0.387,0.687,0.0,0.0,0.0,43678,WSH 
Johan Camargo ,163,23,6,22,1,0.251,0.312,41,9,1,15,38,0.428,0.74,0.01,0.01,0.01,6533,PHI 
Greg Allen ,158,23,3,16,8,0.247,0.305,39,8,1,13,38,0.371,0.676,0.0,0.0,0.0,6777,PIT 
Leody Taveras ,167,23,5,19,7,0.224,0.291,38,8,1,16,47,0.372,0.664,0.0,0.0,0.0,39153,TEX 
Hanser Alberto ,175,23,3,20,2,0.273,0.297,48,10,1,6,25,0.396,0.694,0.0,0.0,0.0,5644,LAD 
Austin Barnes ,194,27,6,24,2,0.221,0.3,43,8,0,22,52,0.353,0.652,0.02,0.02,0.02,5633,LAD 
Lewin Diaz ,153,20,8,23,1,0.236,0.285,36,7,1,11,39,0.448,0.734,0.0,0.0,0.0,26308,MIA 
Edward Olivares ,144,20,5,18,4,0.258,0.309,37,6,1,11,29,0.423,0.732,0.02,0.03,0.01,7536,KC 
Brent Rooker ,165,23,8,23,1,0.222,0.296,37,8,0,17,59,0.429,0.725,0.0,0.0,0.0,7318,SD 
Colton Welker ,158,21,5,22,1,0.259,0.316,41,9,1,13,41,0.425,0.741,0.0,0.0,0.0,7250,COL 
Nick Gordon ,152,19,4,18,6,0.25,0.298,38,8,1,10,40,0.391,0.689,0.01,0.01,0.0,5960,MIN 
Brian Goodwin ,178,24,6,22,2,0.23,0.306,41,9,1,19,49,0.392,0.698,0.0,0.0,0.0,4686,"CF,RF) FA "
Brett Phillips ,151,23,6,19,7,0.198,0.294,30,5,2,20,60,0.374,0.668,0.02,0.03,0.01,5969,TB 
Michael Hermosillo ,143,21,6,20,3,0.229,0.297,33,6,1,14,53,0.419,0.716,0.0,0.0,0.0,7078,CHC 
Jonah Heim ,188,21,6,23,2,0.234,0.287,44,9,0,14,40,0.385,0.672,0.49,0.44,0.53,6457,TEX 
Robinson Chirinos ,194,23,8,24,1,0.215,0.288,42,9,1,20,66,0.384,0.673,0.0,0.0,0.0,3866,BAL 
Starlin Castro ,158,18,4,20,1,0.27,0.318,43,8,1,11,29,0.407,0.725,0.0,0.0,0.0,3939,3B) FA 
Ehire Adrianza ,175,24,4,20,1,0.245,0.313,43,9,1,17,41,0.381,0.694,0.0,0.0,0.0,5316,WSH 
Orlando Arcia ,143,19,5,19,2,0.249,0.307,36,6,0,12,26,0.4,0.707,0.0,0.0,0.0,4860,ATL 
Ben Rortvedt ,195,23,7,23,1,0.22,0.283,43,7,0,17,56,0.368,0.651,0.0,0.0,0.0,8534,NYY 
Victor Caratini ,171,21,5,22,1,0.241,0.315,41,7,0,19,46,0.367,0.683,0.0,0.0,0.0,5080,MIL 
Isaac Paredes ,146,21,5,19,1,0.25,0.336,36,7,1,19,27,0.408,0.744,0.01,0.01,0.01,10050,TB 
Jose Trevino ,186,20,5,22,1,0.239,0.277,45,9,0,10,40,0.362,0.64,0.01,0.01,0.01,7023,NYY 
Brennen Davis ,131,20,5,17,2,0.242,0.314,32,7,1,14,47,0.42,0.734,0.03,0.05,0.01,43673,CHC 
Jon Berti ,143,21,3,14,6,0.24,0.323,34,6,1,18,37,0.351,0.674,0.01,0.02,0.0,6776,MIA 
Sergio Alcantara ,194,24,4,18,3,0.232,0.316,45,7,2,24,54,0.346,0.662,0.0,0.0,0.0,5710,SD 
Cooper Hummel ,131,20,5,18,1,0.245,0.341,32,6,1,19,36,0.414,0.755,0.0,0.0,0.0,44594,ARI 
Yonathan Daza ,155,18,2,16,2,0.276,0.322,43,8,1,10,31,0.383,0.705,0.02,0.03,0.01,7667,COL 
Harold Castro ,172,18,3,18,1,0.266,0.3,46,7,1,9,36,0.36,0.66,0.01,0.01,0.0,5033,DET 
Stephen Vogt ,220,24,7,25,1,0.206,0.28,45,10,1,23,62,0.352,0.632,0.0,0.0,0.0,4087,OAK 
Juan Yepez ,114,16,6,18,1,0.248,0.318,28,6,0,12,29,0.447,0.765,0.38,0.5,0.25,44924,STL 
Geraldo Perdomo ,156,20,3,16,4,0.241,0.319,37,7,2,18,35,0.354,0.674,0.01,0.01,0.0,43732,ARI 
Andrew Knizner ,178,21,5,19,1,0.232,0.296,41,8,0,16,40,0.353,0.649,0.01,0.01,0.01,7107,STL 
Andrew Stevenson ,132,18,3,16,2,0.258,0.311,34,6,1,10,30,0.384,0.694,0.0,0.0,0.0,7098,WSH 
Kurt Suzuki ,171,19,5,21,0,0.236,0.285,40,7,0,12,35,0.37,0.655,0.0,0.0,0.0,3650,LAA 
Owen Miller ,160,19,4,18,1,0.245,0.294,39,8,1,11,40,0.383,0.677,0.6,0.55,0.66,10063,CLE 
Tomas Nido ,190,20,5,21,1,0.225,0.263,43,8,1,10,54,0.353,0.616,0.0,0.0,0.0,6539,NYM 
Travis Swaggerty ,119,16,4,14,4,0.242,0.313,29,6,1,12,35,0.388,0.701,0.0,0.0,0.0,7500,PIT 
Mickey Moniak ,141,18,5,18,2,0.225,0.28,32,6,2,11,47,0.4,0.68,0.02,0.02,0.01,8368,PHI 
Jack Mayfield ,130,16,5,18,2,0.233,0.283,30,7,0,9,31,0.411,0.694,0.0,0.0,0.0,7625,LAA 
Jason Castro ,147,20,6,19,0,0.218,0.315,32,7,0,21,52,0.389,0.704,0.0,0.0,0.0,3454,HOU 
David Bote ,128,17,5,18,1,0.229,0.306,29,5,1,14,32,0.4,0.706,0.0,0.0,0.0,7663,CHC 
Khris Davis ,113,15,6,18,0,0.228,0.295,26,5,0,11,33,0.435,0.73,0.0,0.0,0.0,4800,DH) FA 
Pedro Severino ,136,15,5,18,0,0.241,0.307,33,6,0,13,32,0.386,0.692,0.0,0.0,0.0,5844,MIL 
Adam Eaton ,132,19,3,14,2,0.241,0.309,32,6,1,13,29,0.374,0.683,0.0,0.0,0.0,4635,RF) FA 
Max Moroff ,112,16,5,17,1,0.225,0.315,25,5,0,15,36,0.394,0.709,0.0,0.0,0.0,5918,2B) FA 
Josh VanMeter ,127,16,4,16,2,0.229,0.312,29,7,1,15,33,0.4,0.712,0.0,0.0,0.0,6641,PIT 
Guillermo Heredia ,147,21,3,15,1,0.229,0.298,34,9,0,15,38,0.354,0.652,0.0,0.0,0.0,6057,ATL 
Travis Shaw ,112,15,5,17,0,0.228,0.312,26,6,0,14,29,0.41,0.722,0.0,0.0,0.0,5639,"1B,3B) FA "
Nomar Mazara ,125,15,4,16,1,0.238,0.296,30,6,1,10,32,0.394,0.69,0.0,0.0,0.0,5913,SD 
Josh Jung ,88,12,4,13,1,0.275,0.331,24,5,0,7,13,0.464,0.795,0.02,0.03,0.01,23130,TEX 
Nolan Jones ,107,16,4,13,2,0.232,0.325,25,6,0,15,34,0.401,0.725,0.01,0.01,0.0,10128,CLE 
Jose Rojas ,114,16,5,14,1,0.233,0.297,26,6,0,10,31,0.421,0.718,0.0,0.0,0.0,8617,LAA 
Gosuke Katoh ,112,15,3,13,2,0.247,0.315,28,6,0,11,29,0.383,0.697,0.0,0.0,0.0,9966,NYM 
Tim Locastro ,111,16,2,11,5,0.234,0.286,26,5,1,8,25,0.353,0.638,0.0,0.0,0.0,7329,NYY 
Eli White ,146,18,4,15,3,0.215,0.281,31,6,1,13,50,0.345,0.626,0.02,0.03,0.01,8216,TEX 
Willi Castro ,109,15,3,13,2,0.247,0.291,27,5,1,7,23,0.398,0.689,0.02,0.02,0.01,5997,DET 
Gabriel Arias ,110,14,3,13,1,0.263,0.309,29,6,1,7,29,0.408,0.718,0.0,0.0,0.0,10084,CLE 
