Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,PlayerId,Team
Luke Albright ,7.5,6,0,0,5.48,1.59,5,8,4,1,2,1,0,0,47002 ,ARI 
Jeff Criswell ,9.2,7,0,0,5.42,1.54,6,10,4,2,2,2,1,0,43888 ,COL 
Vladimir Gutierrez ,21.2,17,1,0,5.54,1.52,13,23,9,4,15,2,1,0,6634 d,MIA 
Juan Mejia ,10.6,9,0,0,5.19,1.58,6,11,5,2,11,0,0,0,48267 ,COL 
Zach Davies ,50.1,38,2,0,5.10,1.52,28,55,21,8,17,8,4,0,5842 d,WSH 
Jackson Rutledge ,73.9,54,3,0,5.25,1.47,43,79,30,12,20,13,5,0,23366 ,WSH 
Zach Neal ,27.9,22,1,0,5.53,1.47,17,32,9,7,27,0,2,0,4897 d,RP) FA 
Ryan Jensen ,14.8,14,0,0,4.96,1.61,8,13,11,2,17,1,1,0,19853 ,MIN 
Blake Taylor ,6.0,4,0,0,5.66,1.68,4,7,3,1,6,0,0,0,37108 ,TEX 
Brad Keller ,34.3,26,2,0,5.07,1.61,19,36,19,4,12,5,3,0,7370 d,"SP,RP) FA "
Deivi Garcia ,57.9,54,2,1,5.22,1.53,34,57,32,10,52,1,4,0,39233 ,CWS 
Robert Gsellman ,16.0,13,0,0,5.35,1.50,10,17,7,2,16,0,0,0,5889 d,WSH 
Ricky Karcher ,17.3,19,1,0,5.31,1.74,10,14,16,2,17,0,1,0,46498 ,ARI 
Spenser Watkins ,23.4,17,1,0,5.65,1.52,15,27,8,4,12,2,2,0,9976 d,WSH 
Luis Cessa ,15.2,10,0,0,5.08,1.59,9,18,6,2,12,1,1,0,5861 d,KC 
Cole Winn ,26.6,23,1,0,5.21,1.63,15,27,16,4,18,2,2,0,7922 d,TEX 
Joey Krehbiel ,12.2,10,0,0,5.70,1.63,8,13,7,3,11,0,1,0,6711 d,SEA 
Austin Gomber ,143.7,102,7,0,5.33,1.47,85,165,47,26,27,27,11,1,6257 d,COL 
Matt Carasiti ,20.5,16,1,0,5.53,1.65,13,24,10,3,19,0,1,0,6471 d,COL 
Riley Pint ,21.2,22,1,0,5.35,1.77,13,20,18,2,26,0,1,0,6474 d,COL 
Matt Koch ,27.7,21,1,0,5.80,1.54,18,33,10,6,28,0,2,0,5922 d,COL 
Madison Bumgarner ,77.7,54,4,0,5.49,1.49,47,87,29,15,14,14,6,0,3691 d,SP) FA 
Ty Blach ,32.6,21,1,0,5.46,1.55,20,41,10,6,22,2,2,0,5194 d,COL 
Jaden Hill ,24.0,20,1,0,5.84,1.66,16,26,13,4,24,0,1,0,44709 ,COL 
Karl Kauffmann ,17.1,11,1,0,6.12,1.75,12,21,9,3,12,1,1,0,43992 ,COL 
Cal Quantrill ,148.3,93,7,0,5.29,1.48,87,172,48,24,27,27,10,0,6399 d,COL 
Peter Lambert ,106.1,83,4,0,5.41,1.50,64,119,40,19,29,18,8,0,7473 d,COL 
Noah Davis ,39.0,29,1,0,5.81,1.59,25,44,18,7,16,6,3,0,44485 ,COL 
Kyle Freeland ,156.5,101,7,0,5.39,1.51,94,187,48,28,29,29,12,0,6041 d,COL 
Dakota Hudson ,122.0,69,6,0,5.34,1.59,72,144,50,16,27,22,9,0,6840 d,COL 
