Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,Rost,Yahoo,ESPN,PlayerId,Team
Rafael Marchan ,56,7,2,6,0,0.242,0.303,13,2,0,5,13,0.384,0.687,0.0,0.0,0.0,43920,PHI 
Zach McKinstry ,46,6,1,6,1,0.228,0.283,11,2,0,4,12,0.366,0.649,0.0,0.0,0.0,10153,LAD 
Luke Williams ,52,6,1,5,2,0.226,0.287,12,2,0,4,13,0.318,0.605,0.0,0.0,0.0,43628,MIA 
Rodolfo Castro ,41,5,2,6,0,0.234,0.279,10,2,0,3,11,0.431,0.71,0.0,0.0,0.0,8553,PIT 
Kyle Garlick ,44,6,2,6,0,0.224,0.271,10,3,0,3,15,0.418,0.689,0.0,0.0,0.0,8515,MIN 
Nick Maton ,54,7,1,6,1,0.218,0.289,12,3,0,5,16,0.335,0.624,0.0,0.0,0.0,43955,PHI 
Daniel Johnson ,44,6,1,6,1,0.228,0.284,10,2,0,3,15,0.381,0.665,0.0,0.0,0.0,8181,NYM 
Jose Peraza ,37,5,1,4,1,0.258,0.294,10,2,0,2,6,0.384,0.678,0.0,0.0,0.0,5186,NYY 
Justin Smoak ,45,6,2,6,0,0.222,0.319,10,2,0,6,13,0.39,0.709,0.0,0.0,0.0,3621,1B) FA 
Matt Thaiss ,45,6,2,6,0,0.227,0.309,10,2,0,5,13,0.388,0.697,0.0,0.0,0.0,6942,LAA 
Luis Barrera ,60,7,1,5,1,0.236,0.292,14,3,0,5,15,0.35,0.642,0.0,0.0,0.0,8147,OAK 
Taylor Jones ,41,5,2,5,0,0.235,0.305,10,2,0,4,12,0.398,0.703,0.0,0.0,0.0,8437,HOU 
Jake Cave ,47,6,1,5,1,0.235,0.286,11,2,0,3,16,0.361,0.647,0.0,0.0,0.0,5957,MIN 
Phil Gosselin ,49,6,1,6,0,0.249,0.305,12,2,0,4,12,0.351,0.656,0.0,0.0,0.0,5531,ATL 
Christin Stewart ,40,5,2,6,0,0.225,0.296,9,2,0,4,13,0.428,0.724,0.0,0.0,0.0,6832,BOS 
DJ Peters ,39,6,2,6,0,0.208,0.256,8,2,0,3,15,0.416,0.672,0.0,0.0,0.0,7672,"LF,CF,RF) FA "
Jose Rondon ,44,6,1,5,1,0.23,0.284,10,2,0,3,12,0.377,0.661,0.0,0.0,0.0,5198,RF) FA 
Pablo Reyes ,36,5,1,4,1,0.238,0.298,9,2,0,3,8,0.381,0.679,0.0,0.0,0.0,8074,MIL 
Richie Palacios ,31,5,1,3,1,0.258,0.33,8,2,0,3,7,0.407,0.737,0.0,0.0,0.0,44377,CLE 
Romy Gonzalez ,36,5,1,5,1,0.231,0.283,8,2,0,3,12,0.386,0.669,0.0,0.0,0.0,44875,CWS 
Jahmai Jones ,50,6,1,5,1,0.229,0.292,11,2,0,4,14,0.346,0.638,0.0,0.0,0.0,6876,BAL 
