VBR,Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,Rost,Yahoo,ESPN,PlayerId,Team
102,Ross Stripling ,138.0,114,6,0,4.11,1.27,63,138,33,18,31,22,11,0,0.35,0.53,0.17,4931,SF 
103,Sean Manaea ,154.5,142,6,0,4.21,1.31,72,153,44,21,28,25,12,0,0.37,0.34,0.4,4944,SF 
104,Jameson Taillon ,161.0,133,6,0,4.30,1.28,77,158,41,20,28,26,13,0,0.49,0.62,0.35,4657,CHC 
105,Merrill Kelly ,175.3,145,7,0,4.30,1.32,84,173,52,23,29,28,14,0,0.74,0.71,0.77,8374,ARI 
106,Eric Lauer ,146.8,139,12,0,4.43,1.36,72,140,54,22,27,29,12,0,0.18,0.26,0.1,6409,MIL 
107,Eduardo Rodriguez ,147.5,128,6,0,4.11,1.31,67,142,47,17,27,30,12,0,0.17,0.21,0.12,3963,DET 
108,Bailey Falter ,118.5,104,9,0,4.28,1.26,56,117,28,19,28,19,5,0,0.06,0.1,0.01,44073,PHI 
109,Clay Holmes ,57.8,60,2,25,3.45,1.38,22,50,25,4,58,0,2,0,0.82,0.94,0.71,6584,NYY 
110,Adam Wainwright ,148.3,105,12,0,4.30,1.35,71,150,43,18,24,24,12,0,0.23,0.29,0.17,4033,STL 
111,A.J. Minter ,59.3,74,2,5,3.00,1.16,20,47,20,5,62,0,2,0,0.56,0.78,0.34,7030,ATL 
112,Giovanny Gallegos ,61.6,72,2,5,3.37,1.12,23,50,17,7,62,0,2,0,0.3,0.5,0.11,6571,STL 
113,Evan Phillips ,60.6,73,2,9,3.26,1.23,22,49,22,5,59,0,2,0,0.53,0.83,0.24,7989,LAD 
114,Alex Wood ,114.8,112,5,0,3.96,1.31,51,111,32,13,30,18,5,0,0.07,0.1,0.04,4574,SF 
115,Jason Adam ,56.9,68,2,9,3.30,1.18,21,43,20,6,59,0,2,0,0.41,0.6,0.22,7309,TB 
116,Alex Lange ,61.1,68,2,19,3.66,1.33,25,51,27,5,60,0,2,0,0.4,0.68,0.12,26951,DET 
117,Adam Ottavino ,61.6,73,5,9,3.63,1.29,25,50,26,6,63,0,2,0,0.26,0.42,0.1,3022,NYM 
118,A.J. Puk ,67.3,74,3,8,3.52,1.26,26,57,24,6,63,0,3,0,0.2,0.33,0.07,5007,MIA 
119,Roansy Contreras ,141.5,129,6,0,4.26,1.33,67,133,51,19,28,28,11,0,0.16,0.25,0.07,44067,PIT 
120,Justin Steele ,139.3,134,6,0,4.01,1.40,62,131,56,14,26,28,11,0,0.39,0.54,0.25,8158,CHC 
121,Brock Burke ,65.3,70,3,3,3.31,1.21,24,55,21,6,57,0,3,0,0.02,0.04,0.01,8166,TEX 
122,Cal Quantrill ,164.0,113,7,0,4.28,1.33,78,163,46,21,29,26,7,0,0.37,0.47,0.27,6399,CLE 
123,Seranthony Dominguez ,60.6,67,2,14,3.50,1.31,24,51,26,6,62,0,2,0,0.3,0.5,0.09,7177,PHI 
124,Jose Leclerc ,54.6,64,2,19,3.77,1.33,23,43,26,6,54,0,2,0,0.48,0.8,0.17,5914,TEX 
125,Lance McCullers Jr. ,95.0,95,8,0,3.85,1.38,41,85,41,10,17,15,4,0,0.51,0.5,0.52,4831,HOU 
126,Bailey Ober ,88.8,85,4,0,4.00,1.20,39,84,20,13,31,14,4,0,0.03,0.05,0.01,44064,MIN 
127,Alex Vesia ,54.6,74,4,4,3.46,1.22,21,42,22,6,57,0,2,0,0.04,0.06,0.01,43639,LAD 
128,Tylor Megill ,77.5,83,6,0,3.89,1.26,34,71,23,10,34,9,3,0,0.14,0.23,0.04,44185,NYM 
129,Brandon Hughes ,59.5,67,2,9,3.59,1.22,24,49,21,7,58,0,2,0,0.02,0.03,0.01,45160,CHC 
130,Kyle Finnegan ,62.0,64,2,22,4.17,1.36,29,58,24,7,62,0,2,0,0.17,0.27,0.08,7565,WSH 
131,Michael King ,56.7,63,2,4,3.22,1.18,20,47,17,5,48,0,2,0,0.08,0.11,0.04,8489,NYY 
132,Dylan Lee ,54.9,61,4,0,3.26,1.16,20,47,15,6,52,0,2,0,0.07,0.14,0.0,8426,ATL 
133,Taylor Rogers ,60.3,71,2,5,3.52,1.23,24,56,15,5,61,0,2,0,0.21,0.38,0.04,5909,SF 
134,Trevor Rogers ,126.0,127,5,0,4.24,1.36,59,121,45,14,29,25,10,0,0.19,0.27,0.11,6995,MIA 
135,Aaron Ashby ,76.4,84,3,0,3.52,1.30,30,65,31,7,41,9,3,0,0.08,0.13,0.04,43700,MIL 
136,Brusdar Graterol ,56.5,50,2,7,3.27,1.22,21,50,15,3,55,0,2,0,0.23,0.39,0.07,31521,LAD 
