VBR,Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,Rost,Yahoo,ESPN,PlayerId,Team
448,Rafael Marchan ,6,0,0,0,0,0.186,0.226,1,0,0,0,1,0.224,0.45,0.0,0.0,0.0,43920 ,PHI 
449,Carlos Santana ,2,0,0,0,0,0.089,0.131,0,0,0,0,0,0.144,0.275,0.0,0.0,0.0,3162 d,1B) FA
450,Yoan Moncada ,2,0,0,0,0,0.231,0.313,0,0,0,0,1,0.399,0.712,0.0,0.0,0.0,5679 d,LAA 
451,Patrick Wisdom ,2,0,0,0,0,0.203,0.284,0,0,0,0,1,0.431,0.715,0.0,0.0,0.0,6255 d,SEA 
452,Nick Madrigal ,2,0,0,0,0,0.104,0.134,0,0,0,0,0,0.135,0.269,0.0,0.0,0.0,6954 d,TB 
453,Ryan Mountcastle ,2,0,0,0,0,0.104,0.132,0,0,0,0,0,0.167,0.299,0.0,0.0,0.0,7239 d,BAL 
454,Gavin Lux ,2,0,0,0,0,0.098,0.141,0,0,0,0,0,0.143,0.285,0.01,0.01,0.0,7421 d,TB 
455,Noelvi Marte ,2,0,0,0,0,0.102,0.127,0,0,0,0,0,0.166,0.293,0.13,0.22,0.05,8284 d,CIN 
456,MJ Melendez ,2,0,0,0,0,0.204,0.287,0,0,0,0,1,0.377,0.664,0.0,0.0,0.0,10031 ,NYM 
457,Blake Perkins ,2,0,0,0,0,0.114,0.167,0,0,0,0,1,0.172,0.339,0.0,0.0,0.0,10117 ,CLE 
458,Matt Wallner ,2,0,0,0,0,0.214,0.308,0,0,0,0,1,0.387,0.695,0.01,0.01,0.01,43696 ,MIN 
459,Tristan Gray ,2,0,0,0,0,0.211,0.268,0,0,0,0,0,0.333,0.601,0.0,0.0,0.0,43972 ,MIN 
460,Michael Helman ,2,0,0,0,0,0.086,0.114,0,0,0,0,0,0.146,0.26,0.0,0.0,0.0,11238 ,TEX 
461,Mason McCoy ,2,0,0,0,0,0.078,0.106,0,0,0,0,1,0.117,0.223,0.0,0.0,0.0,44175 ,SD 
462,Gustavo Campero ,2,0,0,0,0,0.096,0.13,0,0,0,0,0,0.153,0.282,0.0,0.0,0.0,44503 ,LAA 
463,Christian Franklin ,2,0,0,0,0,0.091,0.137,0,0,0,0,1,0.131,0.267,0.0,0.0,0.0,44727 ,BAL 
464,Cam Cauley ,2,0,0,0,0,0.087,0.116,0,0,0,0,0,0.143,0.259,0.0,0.0,0.0,45174 ,TEX 
465,Joey Loperfido ,2,0,0,0,0,0.092,0.126,0,0,0,0,1,0.144,0.27,0.0,0.0,0.0,45780 ,HOU 
466,Sterlin Thompson ,2,0,0,0,0,0.103,0.143,0,0,0,0,0,0.164,0.307,0.0,0.0,0.0,46296 ,COL 
467,Darell Hernaiz ,2,0,0,0,0,0.131,0.171,0,0,0,0,0,0.179,0.35,0.0,0.0,0.0,46454 ,ATH 
468,Ryan Ritter ,2,0,0,0,0,0.12,0.159,0,0,0,0,1,0.183,0.342,0.0,0.0,0.0,46718 ,COL 
469,Kaelen Culpepper ,2,0,0,0,0,0.097,0.128,0,0,0,0,0,0.147,0.274,0.06,0.08,0.04,7354387,MIN 
470,Andrew Pinckney ,2,0,0,0,0,0.097,0.128,0,0,0,0,1,0.147,0.275,0.0,0.0,0.0,48005 ,WSH 
471,Jonathon Long ,2,0,0,0,0,0.09,0.129,0,0,0,0,0,0.139,0.268,0.0,0.0,0.0,48077 ,MIA 
472,Jim Jarvis ,2,0,0,0,0,0.102,0.139,0,0,0,0,0,0.141,0.281,0.0,0.0,0.0,7355269,ATL 
473,Jorge Soler ,3,0,0,0,0,0.106,0.175,0,0,0,0,1,0.154,0.329,0.04,0.05,0.04,4495 d,"RF,DH) FA"
474,Alex Jackson ,3,0,0,0,0,0.106,0.164,0,0,0,0,1,0.147,0.312,0.0,0.0,0.0,5687 d,MIN 
475,Andrew Velazquez ,3,0,0,0,0,0.085,0.108,0,0,0,0,1,0.123,0.232,0.0,0.0,0.0,6228 d,KC 
476,Mike Tauchman ,3,0,0,0,0,0.095,0.145,0,0,0,0,1,0.146,0.291,0.01,0.01,0.0,7084 d,"LF,CF,RF) FA"
477,Brian Navarreto ,3,0,0,0,0,0.09,0.107,0,0,0,0,1,0.121,0.228,0.0,0.0,0.0,7738 d,MIA 
478,Lane Thomas ,3,0,0,0,0,0.097,0.141,0,0,0,0,1,0.165,0.306,0.01,0.01,0.01,8293 d,ATL 
479,Gabriel Arias ,3,0,0,0,0,0.106,0.164,0,0,0,0,1,0.144,0.308,0.0,0.0,0.0,10084 ,CHC 
480,Yohel Pozo ,3,0,0,0,0,0.16,0.168,0,0,0,0,0,0.182,0.35,0.0,0.0,0.0,44830 ,BAL 
481,Niko Kavadas ,3,0,0,0,0,0.042,0.071,0,0,0,0,1,0.081,0.152,0.0,0.0,0.0,45338 ,LAA 
482,Brandon Lockridge ,3,0,0,0,0,0.095,0.126,0,0,0,0,1,0.125,0.252,0.0,0.0,0.0,45610 ,MIL 
483,Matthew Lugo ,3,0,0,0,0,0.091,0.117,0,0,0,0,1,0.149,0.267,0.0,0.0,0.0,45769 ,KC 
484,Braxton Fulford ,3,0,0,0,0,0.14,0.192,0,0,0,0,1,0.22,0.412,0.0,0.0,0.0,45770 ,COL 
485,Raynel Delgado ,3,0,0,0,0,0.087,0.118,0,0,0,0,1,0.124,0.242,0.0,0.0,0.0,45798 ,HOU 
486,Cesar Prieto ,3,0,0,0,0,0.096,0.103,0,0,0,0,0,0.111,0.214,0.0,0.0,0.0,45928 ,STL 
487,DaShawn Keirsey ,3,0,0,0,0,0.119,0.139,0,0,0,0,1,0.151,0.29,0.0,0.0,0.0,45952 ,ATL 
488,Seaver King ,3,0,0,0,0,0.152,0.18,0,0,0,0,1,0.203,0.384,0.01,0.01,0.0,7354371,WSH 
489,Sean Keys ,3,0,0,0,0,0.097,0.16,0,0,0,0,1,0.137,0.297,0.0,0.0,0.0,7354574,TOR 
490,Ralphy Velazquez ,3,0,0,0,0,0.104,0.14,0,0,0,0,1,0.177,0.317,0.02,0.03,0.01,47949 ,CLE 
