Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,PlayerId,Team
Taylor Clarke ,56.6,58,3,0,4.44,1.33,28,55,20,9,55,0,3,0,7494 d,MIL 
Tylor Megill ,93.2,83,5,0,4.65,1.40,48,95,35,14,36,14,6,0,44185 ,NYM 
Martin Perez ,141.8,100,7,0,4.57,1.44,72,152,52,17,25,25,9,0,3501 d,PIT 
Jake Diekman ,56.1,68,3,0,4.17,1.43,26,46,34,7,59,0,3,0,4268 d,NYM 
Trent Thornton ,54.2,48,3,0,4.29,1.33,26,53,19,8,50,0,3,0,7635 d,SEA 
Ron Marinaccio ,51.6,58,3,0,4.34,1.36,25,43,27,7,52,0,3,0,45015 ,NYY 
Ryne Nelson ,118.3,87,6,0,4.78,1.38,63,124,39,19,31,20,7,0,38389 ,ARI 
Tristan Beck ,84.4,70,4,0,4.56,1.37,43,87,29,11,32,11,5,0,6996 d,SF 
Mike Baumann ,51.2,49,3,0,4.17,1.36,24,47,22,6,44,0,3,1,43719 ,BAL 
John King ,53.4,36,3,0,3.93,1.36,23,57,16,5,48,0,3,0,43998 ,STL 
J.P. Feyereisen ,44.4,44,3,0,4.25,1.32,21,39,19,7,45,0,2,0,6449 d,LAD 
Bryan Baker ,43.3,46,2,0,3.99,1.32,19,37,20,5,43,0,2,0,43674 ,BAL 
Beau Brieske ,54.0,47,2,0,4.24,1.29,25,52,18,7,52,1,3,0,45085 ,DET 
Lucas Sims ,59.5,70,3,2,4.64,1.37,31,50,32,9,61,0,4,0,4320 d,CIN 
Eduard Bazardo ,36.7,35,2,0,4.01,1.24,16,34,12,5,34,0,2,0,44068 ,SEA 
Phil Bickford ,49.3,54,2,0,4.32,1.30,24,43,21,7,49,0,3,0,4957 d,NYM 
Grant Anderson ,50.7,50,3,0,4.33,1.34,24,48,20,7,47,0,2,0,45646 ,TEX 
Jose Cuas ,56.2,56,3,0,4.21,1.39,26,53,25,7,58,0,3,0,8002 d,CHC 
Ray Kerr ,45.7,52,3,0,4.10,1.40,21,41,23,5,44,0,2,0,44996 ,ATL 
Seth Martinez ,47.6,47,2,0,4.15,1.31,22,44,19,6,47,0,2,0,44186 ,HOU 
Sam Moll ,57.5,61,2,0,4.17,1.37,27,52,27,7,58,0,3,0,5057 d,CIN 
Robert Garcia ,56.2,59,3,0,4.29,1.39,27,51,27,7,54,0,3,0,47023 ,WSH 
Miguel Diaz ,51.8,50,3,0,4.23,1.37,24,49,22,6,48,0,3,0,6625 d,DET 
Matt Waldron ,88.3,69,5,0,4.79,1.36,47,92,28,14,16,16,6,0,45496 ,SD 
Bryse Wilson ,64.2,50,3,0,4.47,1.32,32,66,18,10,53,1,3,0,7397 d,MIL 
Ben Joyce ,47.6,56,2,2,4.21,1.38,22,40,25,6,50,0,3,0,46588 ,LAA 
Ryan Fernandez ,39.9,35,3,0,4.08,1.33,18,39,14,5,41,0,2,0,45889 ,STL 
Scott Effross ,35.1,33,2,0,3.99,1.25,16,34,10,4,33,0,2,0,44840 ,NYY 
Tanner Banks ,52.5,47,2,0,4.28,1.30,25,53,15,8,47,1,3,0,8580 d,CWS 
Emerson Hancock ,69.0,55,4,0,4.62,1.35,35,69,25,10,30,10,4,0,43825 ,SEA 
Carmen Mlodzinski ,56.5,52,3,1,4.28,1.39,27,54,24,7,56,0,4,0,43808 ,PIT 
Brennan Bernardino ,55.1,56,2,0,4.15,1.37,25,53,22,6,58,0,2,0,46244 ,BOS 
Matthew Liberatore ,58.9,52,3,0,4.32,1.37,28,58,23,7,36,6,3,0,7459 d,STL 
Ben Brown ,41.7,45,2,0,4.12,1.32,19,37,18,5,27,4,2,0,8573 d,CHC 
Ben Lively ,62.9,55,3,0,4.53,1.34,32,64,20,10,46,3,4,0,5211 d,CLE 
Zach Jackson ,47.2,55,2,1,4.11,1.40,22,39,27,6,47,0,3,0,8475 d,OAK 
Michael Fulmer ,36.3,38,2,0,4.03,1.30,16,33,14,4,33,0,2,0,5878 d,BOS 
Ken Waldichuk ,60.9,59,3,0,4.43,1.38,30,57,27,8,24,9,4,0,44904 ,OAK 
Yariel Rodriguez ,66.7,65,3,0,4.45,1.39,33,62,31,9,41,6,3,0,48332 ,TOR 
Dillon Tate ,54.1,42,2,1,4.31,1.31,26,54,17,6,53,0,3,0,6013 d,BAL 
Elvis Peguero ,51.1,47,2,0,4.18,1.34,24,48,20,6,51,0,3,0,44818 ,MIL 
Tyler Kinley ,60.1,60,2,8,4.75,1.38,32,60,23,9,61,0,3,0,7371 d,COL 
Andre Pallante ,61.2,45,3,0,3.99,1.43,27,63,25,5,58,0,3,0,45747 ,STL 
Tim Herrin ,33.3,35,2,0,3.83,1.33,14,30,14,3,33,0,2,0,45689 ,CLE 
